Date,Close
17/11/2019,40
20/11/2019,48
24/11/2019,31
27/11/2019,35
01/12/2019,39
04/12/2019,41
08/12/2019,50
11/12/2019,51
15/12/2019,1
18/12/2019,3
22/12/2019,5
25/12/2019,26
29/12/2019,37
01/01/2020,52
05/01/2020,4
08/01/2020,29
12/01/2020,30
15/01/2020,41
19/01/2020,43
22/01/2020,49
26/01/2020,1
29/01/2020,10
02/02/2020,20
05/02/2020,37
09/02/2020,53
12/02/2020,56
16/02/2020,12
19/02/2020,29
23/02/2020,41
26/02/2020,49
01/03/2020,52
04/03/2020,55
08/03/2020,2
11/03/2020,9
15/03/2020,13
18/03/2020,16
22/03/2020,27
25/03/2020,38
29/03/2020,13
01/04/2020,15
26/07/2020,23
29/07/2020,42
02/08/2020,49
05/08/2020,51
09/08/2020,3
12/08/2020,12
16/08/2020,18
19/08/2020,24
23/08/2020,43
26/08/2020,50
30/08/2020,1
02/09/2020,4
06/09/2020,15
09/09/2020,24
13/09/2020,34
16/09/2020,52
20/09/2020,11
23/09/2020,15
27/09/2020,29
30/09/2020,39
04/10/2020,40
07/10/2020,50
11/10/2020,7
14/10/2020,34
18/10/2020,37
21/10/2020,41
25/10/2020,44
28/10/2020,56
01/11/2020,7
04/11/2020,12
08/11/2020,25
11/11/2020,35
15/11/2020,44
18/11/2020,45
22/11/2020,11
25/11/2020,33
29/11/2020,37
02/12/2020,38
25/11/2020,41
29/11/2020,46
02/12/2020,1
25/11/2020,10
29/11/2020,20
02/12/2020,25
25/11/2020,44
29/11/2020,46
02/12/2020,7
25/11/2020,16
29/11/2020,17
02/12/2020,39
25/11/2020,46
29/11/2020,56
02/12/2020,10
25/11/2020,15
29/11/2020,17
02/12/2020,31
25/11/2020,45
29/11/2020,51
02/12/2020,2
25/11/2020,11
29/11/2020,24
02/12/2020,42
25/11/2020,51
29/11/2020,54
02/12/2020,17
25/11/2020,19
29/11/2020,33
02/12/2020,38
25/11/2020,54
29/11/2020,55
02/12/2020,8
25/11/2020,16
29/11/2020,20
02/12/2020,28
25/11/2020,33
29/11/2020,36
02/12/2020,9
25/11/2020,13
29/11/2020,39
02/12/2020,44
25/11/2020,48
29/11/2020,52
02/12/2020,9
25/11/2020,13
29/11/2020,21
02/12/2020,50
25/11/2020,51
29/11/2020,53
02/12/2020,15
25/11/2020,18
29/11/2020,23
02/12/2020,26
25/11/2020,32
29/11/2020,34
02/12/2020,6
25/11/2020,24
29/11/2020,31
02/12/2020,37
25/11/2020,39
29/11/2020,54
02/12/2020,31
25/11/2020,32
29/11/2020,33
02/12/2020,36
25/11/2020,39
29/11/2020,44
02/12/2020,8
25/11/2020,11
29/11/2020,23
02/12/2020,25
25/11/2020,28
29/11/2020,29
02/12/2020,3
25/11/2020,4
29/11/2020,36
02/12/2020,43
25/11/2020,50
29/11/2020,51
02/12/2020,1
25/11/2020,3
29/11/2020,4
02/12/2020,9
25/11/2020,20
29/11/2020,55
02/12/2020,10
25/11/2020,21
29/11/2020,25
02/12/2020,29
25/11/2020,43
29/11/2020,52
02/12/2020,11
25/11/2020,13
29/11/2020,31
02/12/2020,32
25/11/2020,33
29/11/2020,40
02/12/2020,15
25/11/2020,18
29/11/2020,21
02/12/2020,29
25/11/2020,33
29/11/2020,41
02/12/2020,2
25/11/2020,8
29/11/2020,27
02/12/2020,32
25/11/2020,38
29/11/2020,49
02/12/2020,11
25/11/2020,20
29/11/2020,27
02/12/2020,50
25/11/2020,54
29/11/2020,55
02/12/2020,3
25/11/2020,17
29/11/2020,21
02/12/2020,36
25/11/2020,37
29/11/2020,40
02/12/2020,5
25/11/2020,10
29/11/2020,11
02/12/2020,17
25/11/2020,39
29/11/2020,48
02/12/2020,5
25/11/2020,23
29/11/2020,24
02/12/2020,33
25/11/2020,48
29/11/2020,50
02/12/2020,12
25/11/2020,28
29/11/2020,32
